pv,demand
0,2.703
0,3.068
0.09,3.55
0.363,3.765
0.969,3.741
1.704,3.704
2.296,3.654
2.296,3.572
1.776,3.341
1.404,3.217
1.193,3.133
0.874,3.128
0.493,3.237
0.256,3.49
0.018,3.739
0,3.646
0,3.35
0,3.067
0,2.966
0,2.782
0,2.619
0,2.493
0,2.44
0,2.374
0,2.374
0,2.508
0.099,2.65
0.386,2.729
1.099,2.817
1.96,2.901
2.664,2.848
3.108,2.841
3.229,2.673
3.076,2.566
2.623,2.437
1.901,2.459
1.072,2.567
0.345,2.817
0.013,3.084
0,3.055
0,2.867
0,2.654
0,2.642
0,2.436
0,2.299
0,2.165
0,2.136
0,2.065
0,2.069
0,2.183
0.108,2.248
0.39,2.31
1.063,2.392
1.861,2.47
2.529,2.53
2.987,2.573
3.103,2.484
2.874,2.395
2.305,2.331
1.561,2.345
0.807,2.442
0.247,2.661
0.018,2.963
0,2.959
0,2.777
0,2.575
0,2.597
0,2.423
0,2.321
0,2.206
0,2.192
0,2.169
0,2.269
0,2.658
0.099,3.24
0.202,3.603
0.462,3.734
0.825,3.696
1.215,3.74
1.538,3.762
1.691,3.667
1.664,3.63
1.511,3.534
1.17,3.45
0.691,3.456
0.265,3.6
0.018,3.783
0,3.69
0,3.387
0,3.091
0,2.962
0,2.704
0,2.504
0,2.402
0,2.342
0,2.315
0,2.419
0,2.784
0.112,3.347
0.341,3.633
0.906,3.648
1.556,3.548
1.987,3.553
2.17,3.559
2.17,3.401
2.058,3.372
1.803,3.352
1.354,3.343
0.794,3.376
0.291,3.517
0.022,3.745
0,3.692
0,3.367
0,3.04
0,2.894
0,2.632
0,2.504
0,2.384
0,2.317
0,2.3
0,2.369
0,2.729
0.121,3.286
0.372,3.669
0.987,3.675
1.717,3.568
2.278,3.426
2.601,3.341
2.673,3.199
2.525,3.176
2.188,3.11
1.646,3.137
0.946,3.198
0.341,3.436
0.027,3.704
0,3.628
0,3.327
0,3.018
0,2.883
0,2.656
0,2.491
0,2.369
0,2.331
0,2.332
0,2.412
0,2.779
0.13,3.278
0.408,3.621
1,3.693
1.646,3.633
2.157,3.537
2.484,3.445
2.587,3.291
2.484,3.311
2.161,3.309
1.61,3.345
0.928,3.363
0.327,3.516
0.031,3.665
0,3.583
0,3.278
0,2.987
0,2.861
0,2.597
0,2.47
0,2.351
0,2.295
0,2.257
0,2.33
0,2.674
0.126,3.224
0.363,3.522
0.857,3.585
1.386,3.604
1.749,3.631
1.964,3.651
1.946,3.541
1.731,3.53
1.377,3.486
0.96,3.416
0.525,3.392
0.211,3.504
0.031,3.6
0,3.467
0,3.158
0,2.865
0,2.764
0,2.576
0,2.437
0,2.305
0,2.247
0,2.18
0,2.217
0,2.346
0.126,2.53
0.332,2.74
0.776,2.974
1.22,3.115
1.556,3.142
1.942,3.133
2.269,3.004
2.395,2.821
2.247,2.613
1.731,2.585
1,2.671
0.354,2.888
0.04,3.099
0,3.034
0,2.799
0,2.616
0,2.576
0,2.386
0,2.233
0,2.091
0,2.065
0,2.018
0,2.089
