heat_demand_kW,price,temperature
2.116,125.22,0.943
2.28,135.86,0.356
2.304,131.83,-0.687
2.172,120.92,-0.881
2.08,109.41,-0.535
2.1,97.1,0.016
2.124,91.31,0.297
2.108,84.14,0.279
2.152,78.87,0.424
2.176,76,0.892
2.172,71.52,1.199
2.152,70.56,1.162
2.144,70.99,0.962
2.18,79.47,1.071
2.264,88.73,1.148
2.312,98.26,2.011
2.316,102.95,3.349
2.264,106.3,4.863
2.18,110.33,6.372
2.096,111.1,7.559
2.016,113.91,8.075
1.936,116.24,7.317
1.876,116.52,5.038
1.872,117.18,2.735
1.968,119.51,1.871
2.144,131.2,1.498
2.18,120.87,1.445
2.076,113.69,1.917
2.008,107.35,2.161
2.048,99.02,1.985
2.096,92.2,1.883
2.104,83.24,1.904
2.168,79.96,1.84
2.216,76.99,1.582
2.24,74.64,1.231
2.244,74.05,0.819
2.26,75.67,0.379
2.324,79.95,0.044
2.44,94.27,-0.205
2.52,110.45,0.22
2.552,125,1.004
2.52,121.2,1.885
2.448,114.33,2.717
2.38,109.97,3.015
2.312,102.04,2.808
2.232,96.07,2.178
2.18,96.64,0.771
2.196,101.31,-1.865
2.32,105.66,-2.924
2.54,109.27,-3.876
2.6,106.32,-4.507
2.488,101.69,-4.926
2.416,93.93,-5.181
2.472,83.77,-5.363
2.536,81.9,-5.468
2.552,73.61,-5.577
2.636,70.85,-5.723
2.696,66.97,-5.862
2.724,66.14,-6
2.732,62.76,-6.142
2.752,63.32,-6.247
2.824,67.55,-6.102
2.96,78.27,-5.828
3.052,89.94,-4.918
3.08,104.27,-3.086
3.032,101.17,-1.736
2.936,96.48,-0.983
2.84,86.77,-0.518
2.744,77.99,-0.386
2.64,73.72,-0.601
2.564,75.55,-1.451
2.564,84.9,-2.896
2.696,90.94,-3.107
2.928,98.04,-2.944
2.98,96.7,-2.748
2.828,91.77,-2.702
2.724,83.02,-2.731
2.772,74.47,-2.734
2.824,73.92,-2.72
2.816,68.16,-2.706
2.892,70.1,-2.636
2.936,64.55,-2.655
2.948,65.75,-2.684
2.936,62.98,-2.723
2.936,62.35,-2.922
3,62.95,-3.298
3.124,65.04,-3.639
3.204,69.83,-3.078
3.216,77.88,-1.671
3.156,81.68,-0.371
3.044,75.6,0.384
2.936,72.7,0.773
